,question,answer a,answer b,answer c,answer d,book
0,"Что необычного в яблоках, найденных в саду у Ирии?",Они светятся в темноте,Они имеют множество ярких цветов,Они плавают в воздухе,Они сделаны из металла,Город без памяти
1,Как Толстой объясняет поведение исторических личностей в «Войне и мире»?,Превыше всего — их свободная воля,Они всегда понимают глобальные последствия,Их действия определяются божественным провидением,Они подчинены ходу истории и стечению причин,Война и мир
2,С чем герой «Полотенца с петухом» сравнивает свои окостеневшие ноги после долгой поездки?,С деревянными культяпками,С каменными изваяниями,С ледяными глыбами,С металлическими прутьями,Полотенце с Петухом
3,Чем была вызвана катастрофа в «Роковых яйцах»?,Ошибкой профессора,Саботажем,Погодными условиями,Природной мутацией,Роковые яйца
4,Почему Герасима из «Муму» перевезли в Москву?,Он поссорился с барыней,Мешал деревенской жизни,Барыня хотела надёжного дворника,Он сам сбежал из деревни,Муму
5,Каким образом Тарас Бульба проверил силу своего сына при встрече?,Бросил в него саблю,Заставил его прыгнуть через лошадь,Сразился с ним на кулаках,Посадил на коня и велел скакать,Тарас Бульба
6,Какой город был центром событий в 'Мертвых душах'?,Миргород,NN,Полтава,Киев,Мертвые души
7,Что обнаружил Гай-до при спуске на орбиту планеты Крина?,Наличие воздушных кораблей,"Город с улицами, зданиями и дорогами",Бескрайние пустоши без признаков жизни,Активные вулканы и землетрясения,Город без памяти
8,Какая опасность подстерегала Громозеку в яме?,Обрушившиеся камни,Нападение гигантского паука,Взрыв газового баллона,Поражение парализующим лучом,Лиловый шар
9,Как пациент «Звездной сыпи» реагирует на диагноз?,Недоверие,Панику,Радость,Агрессию,Звездная сыпь
10,Какой продукт упоминается в «Тьме египетской»?,Белладонна,Хинин,Морфий,Кокаин,Тьма египетская
11,"Что произошло с Пашкой, когда он попытался приблизиться к кораблю «Днепр»?",Он упал с небольшой высоты,Он застрял в переплетении веток,Его схватили дикари,Он оказался в капкане,Город без памяти
12,В чём основная причина тоски Герасима после переезда в «Муму»?,Плохое питание,Слишком много работы,Отрыв от привычной деревенской жизни,Ссора с крепостными,Муму
13,В каком месяце начинается действие «Крещения поворотом»?,Декабрь,Май,Октябрь,Февраль,Крещении поворотом
14,Как герой «Приключений покойника» пытается решить проблему с билетом?,Идет по бюрократической цепочке,Просит друзей,Платит взятку,Пишет жалобу,Приключения покойника
15,Кого встретил Коля после выхода из кабины?,Профессора Селезнева,Своего сверстника,Алису,Старика по имени Павел,Сто лет тому вперёд
16,"Как поступила Алиса, когда увидела огромную белую змею в лесу?",Закричала и убежала,"Закричала “Пашка, ложись!” и кинула крышку от термоса в змею",Попробовала гладить змею,Вызвала Пашку для совместного нападения,Город без памяти
17,Какое чувство возникло у героя «Стального горла» при виде больной девочки?,Восхищение ее красотой,Ощущение ответственности,Жалость,Страх,Стальное горло
18,Как называли Афанасия Ивановича и Пульхерию Ивановну в 'Старосветских помещиках'?,Дед и баба,Старые голубки,Товстогубы,Добрые помещики,Старосветских помещиках
19,Что собирал Иван Иванович в 'Как поссорился Иван Иванович с Иваном Никифоровичем'?,Старинные книги,Редкие цветы,Семена дынь,Золотые монеты,Как поссорился Иван Иванович с Иваном Никифоровичем
20,Как звали кучера Чичикова в 'Мертвых душах'?,Петрушка,Селифан,Ноздрев,Манилов,Мертвые души
21,Что в первую очередь заботило Анну Павловну Шерер в первом их разговоре с князем Василием?,Политическая ситуация в Европе,Назначение барона Функе,Свадьба Анатоля Курагина,Благополучие императрицы,Война и мир
22,Что делает пациентка в «Тьме египетской» с белладонной?,Выпивает бутылку с подругами,Разбавляет водой,Продает соседям,Дарит врачу,Тьма египетская
23,Что означает эпизод с крестьянским бытом в «Записках охотника»?,Осуждение писателем городской культуры,Подчёркивание безысходной нищеты,Показ неподдельной красоты жизни простых людей,Призыв к ликвидации дворянских усадеб,Записки охотника
24,Какую роль играет семья Артамоновых в масштабе развития их родного города?  ,"Семья Артамоновых строит завод и становится ядром экономической жизни города.  
",Артамоновы поддерживают жителей города исключительно благотворительной деятельностью.  ,Артамоновы становятся известны своими политическими реформами и общественным активизмом.  ,"Семья сосредотачивается на сельском хозяйстве, избегая влияния на промышленность.",Дело Артамоновых
25,"Кем оказались криняне, с которыми встречаются герои?",Жителями планеты Крина,Потомками атлантов,Космическими роботами,Пиратами Галактики,Город без памяти
26,Какой факт из прошлого вспоминает герой «Морфия»?,Начало зависимости от морфия,Студенческие годы,Военную службу,Его первая любовь,Морфий
27,"Что сделал Коля, обнаружив ключ от квартиры соседа?",Отдал его профессору,Повесил на стене,Спрятал в карман,Передал соседу,Сто лет тому вперёд
28,Какое место кажется герою «Тьмы египетской» символом цивилизации?,Далекая Москва,Соседняя деревня,Дом земского врача,Больничный пункт,Тьма египетская
29,Какой медицинский термин часто использует герой «Приключений покойника» в разговорах с бюрократами?,Скоротечная чахотка,Морбидность,Дисфункция,Гипоксия,Приключения покойника
30,Что больше всего поражает главного героя «Муму» при переезде в город?,Грязные улицы,Непривычная суета и бессмысленность работы,Вежливое отношение горожан,Возможность заработать больше денег,Муму
31,Какой предмет особенно запомнился герою «Полотенца с петухом» при въезде в больницу?,Белые облупленные стены,Полотенце с петухом  ,Разбитый забор,Деревянный колодец,Полотенце с Петухом
32,Какая проблема наиболее остро стоит в «Декабристах» Толстого?,Дворцовые интриги,Взаимоотношение сословий,Свобода и преобразование общества,Защита традиционных ценностей,Декабристы
33,"Что было выложено на стеклянной стене, через которую Коля вышел?",«ИНСТИТУТ ВРЕМЕНИ»,«Лаборатория времени»,«ПУТЬ В БУДУЩЕЕ»,«ИНОВАЦИИ БУДУЩЕГО»,Сто лет тому вперёд
34,Как звали профессора из «Роковых яиц»?,Персиков,Стравинский,Коваленко,Бомгард,Роковые яйца
35,Какая черта характера определяет поступки Герасима из «Муму»?,Жадность и алчность,Грубая жестокость,Безграничная преданность,Эгоизм и самолюбие,Муму
36,Каким предстаёт князь Василий в отношениях со своими детьми?,Внимательный и заботливый отец,Гордый и требовательный педагог,Равнодушный и ищущий выгодного брака для них,Требующий военной карьеры от сыновей,Война и мир
37,Какое событие предвещает гибель Берлиоза?,Разлитое масло,Видение Воланда,Крик чайки,Звон колокола,Мастер и Маргарита
38,"Какую книгу читал герой в «Крещении поворотом», когда его разбудил ночной стук?",Учебник по акушерству,Атлас по топографической анатомии,Учебник по терапевтической хирургии,Монографию по инфекционным болезням,Крещении поворотом
39,Какую эмоцию испытывает герой «Стального горла» при первой операции?,Страх,Уверенность,Радость,Спокойствие,Стальное горло
40,Какую религиозную обязанность часто выполнял Иван Иванович?,Читал проповеди,Раздавал милостыню,Пел в церковном хоре,Ходил в церковь по воскресеньям,Как поссорился Иван Иванович с Иваном Никифоровичем
41,Почему Муму стал для Герасима таким важным существом?,Собака принадлежала барыне,Она напоминала ему родную деревню,"Это был первый, кто ответил ему преданностью",Ему приказали заботиться о щенке,Муму
42,Что стало с жабами в зоологическом институте в «Роковых яйцах»?,Они погибли из-за бескормицы,Их украли студенты,Они мутировали,Они расплодились в лаборатории,Роковые яйца
43,Какой медицинский термин применяет герой «Стального горла» к Лидочке?,Дифтерийный круп,Ларингит,Перелом,Ангина,Стальное горло
